country,group,exp_pts,exp_gf,exp_gd,first_in_group,second_in_group,third_in_group,r16,qtrs,semis,finals,champ
Senegal,A,0,0,0,0,0,0,0,0,0,0,0
England,A,0,0,0,0,0,0,0,0,0,0,0
Qatar,A,0,0,0,0,0,0,0,0,0,0,0
United States,A,0,0,0,0,0,0,0,0,0,0,0
Argentina,A,0,0,0,0,0,0,0,0,0,0,0
Denmark,A,0,0,0,0,0,0,0,0,0,0,0
Mexico,B,0,0,0,0,0,0,0,0,0,0,0
France,B,0,0,0,0,0,0,0,0,0,0,0
Morocco,B,0,0,0,0,0,0,0,0,0,0,0
Germany,B,0,0,0,0,0,0,0,0,0,0,0
Spain,B,0,0,0,0,0,0,0,0,0,0,0
Belgium,B,0,0,0,0,0,0,0,0,0,0,0
Switzerland,C,0,0,0,0,0,0,0,0,0,0,0
Uruguay,C,0,0,0,0,0,0,0,0,0,0,0
Portugal,C,0,0,0,0,0,0,0,0,0,0,0
Brazil,C,0,0,0,0,0,0,0,0,0,0,0
Wales,A,0,0,0,0,0,0,0,0,0,0,0
Netherlands,A,0,0,0,0,0,0,0,0,0,0,0
Tunisia,A,0,0,0,0,0,0,0,0,0,0,0
Poland,B,0,0,0,0,0,0,0,0,0,0,0
Japan,B,0,0,0,0,0,0,0,0,0,0,0
Croatia,B,0,0,0,0,0,0,0,0,0,0,0
Cameroon,C,0,0,0,0,0,0,0,0,0,0,0
Korea Republic,C,0,0,0,0,0,0,0,0,0,0,0
Ecuador,A,0,0,0,0,0,0,0,0,0,0,0
IR Iran,A,0,0,0,0,0,0,0,0,0,0,0
Australia,B,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,A,0,0,0,0,0,0,0,0,0,0,0
Canada,B,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,B,0,0,0,0,0,0,0,0,0,0,0
Ghana,C,0,0,0,0,0,0,0,0,0,0,0
Serbia,C,0,0,0,0,0,0,0,0,0,0,0
